team_number,time
1,2019-12-04 19:10:36.216666
1,2019-12-04 19:18:26.557724
1,2019-12-05 17:20:36.773656
2,2019-12-05 21:05:39.863889
3,2019-12-05 21:49:41.322949
3,2019-12-05 21:52:01.359507
3,2019-12-05 21:54:00.472850
3,2019-12-05 21:58:47.509866
6,2019-12-05 22:00:34.057927
3,2019-12-05 22:01:30.964026
3,2019-12-05 22:02:17.952662
3,2019-12-05 22:04:18.641689
3,2019-12-05 22:05:01.053280
3,2019-12-05 22:09:01.383150
3,2019-12-05 22:10:01.686119
3,2019-12-05 22:10:43.961117
3,2019-12-05 22:14:06.282719
3,2019-12-05 22:19:12.095921
3,2019-12-05 22:23:20.839038
3,2019-12-05 22:25:20.700266
3,2019-12-05 22:26:09.398529
3,2019-12-05 22:28:09.274844
3,2019-12-05 22:47:28.200461
1,2019-12-06 10:32:37.541929
1,2019-12-06 10:40:14.139762
9,2019-12-06 14:41:22.322650
9,2019-12-06 14:42:35.146836
2,2019-12-06 17:14:36.763576
3,2019-12-06 19:44:58.360623
3,2019-12-06 20:08:54.457170
3,2019-12-06 20:27:29.909666
3,2019-12-06 22:44:11.962765
3,2019-12-06 22:47:03.980977
2,2019-12-06 22:51:14.803095
3,2019-12-06 22:55:20.706063
3,2019-12-06 22:55:51.998467
9,2019-12-06 23:34:35.248283
3,2019-12-07 00:36:54.862331
3,2019-12-07 00:39:29.017650
3,2019-12-07 00:40:53.235353
9,2019-12-07 06:36:43.466470
9,2019-12-07 08:06:36.096522
2,2019-12-07 08:48:51.236415
9,2019-12-07 12:56:54.519471
2,2019-12-07 13:28:32.624588
1,2019-12-07 13:31:51.955509
1,2019-12-07 13:32:58.062165
2,2019-12-07 13:34:07.315705
2,2019-12-07 13:35:57.776525
2,2019-12-07 14:02:51.387686
2,2019-12-07 14:32:48.104178
6,2019-12-07 17:48:05.020253
6,2019-12-07 21:40:32.109171
6,2019-12-07 21:53:33.649301
6,2019-12-07 21:53:49.772391
1,2019-12-07 22:13:35.545385
6,2019-12-07 22:49:13.532391
1,2019-12-07 22:56:08.213443
6,2019-12-07 22:56:42.305819
6,2019-12-07 22:57:49.351787
3,2019-12-07 23:24:14.621344
3,2019-12-08 00:08:08.890068
2,2019-12-09 11:34:23.445082
3,2019-12-09 11:40:10.630597
3,2019-12-09 11:41:31.629341
3,2019-12-09 11:44:53.972542
2,2019-12-09 11:53:15.228939
2,2019-12-09 11:53:29.488924
2,2019-12-09 11:55:16.568181
3,2019-12-09 13:41:22.594487
2,2019-12-09 13:49:10.629393
3,2019-12-09 13:50:58.299024
2,2019-12-09 13:56:25.431800
2,2019-12-09 13:58:53.602295
2,2019-12-09 13:59:00.188109
2,2019-12-09 13:59:05.108370
3,2019-12-09 14:01:40.432956
2,2019-12-09 14:01:50.670940
2,2019-12-09 14:03:21.033096
2,2019-12-09 14:04:27.457259
3,2019-12-09 14:09:02.605455
2,2019-12-09 14:12:15.709450
2,2019-12-09 14:13:29.172457
3,2019-12-09 14:19:01.816337
3,2019-12-09 14:22:03.565712
2,2019-12-09 14:23:17.195710
3,2019-12-09 14:26:06.214576
3,2019-12-09 14:34:53.085792
2,2019-12-09 14:35:36.772323
2,2019-12-09 14:35:55.277310
6,2019-12-09 14:38:28.174319
3,2019-12-09 14:39:36.309997
6,2019-12-09 14:42:10.749215
6,2019-12-09 14:43:54.516754
6,2019-12-09 14:47:05.037246
6,2019-12-09 14:50:45.811990
2,2019-12-09 14:51:13.950280
2,2019-12-09 14:54:15.438429
6,2019-12-09 14:58:02.384197
2,2019-12-09 14:59:27.036225
2,2019-12-09 15:19:25.831074
2,2019-12-09 15:20:34.461826
2,2019-12-09 15:21:13.283936
2,2019-12-09 15:21:34.760319
2,2019-12-09 15:24:15.276322
3,2019-12-09 16:23:05.333992
3,2019-12-09 16:23:31.699692
3,2019-12-09 16:23:53.916628
2,2019-12-09 16:32:10.068789
2,2019-12-09 17:29:42.803249
2,2019-12-09 17:41:30.506687
5,2019-12-09 18:06:17.339386
2,2019-12-09 18:08:52.556500
2,2019-12-09 18:14:03.904865
2,2019-12-09 18:14:18.397969
6,2019-12-09 18:48:09.648879
6,2019-12-09 18:49:51.792394
